set,hjd,mag
0,2456303.302071,10.76544
0,2456303.308749,10.7557
0,2456303.310854,10.7687
0,2456303.319757,10.77059
0,2456303.327113,10.78203
0,2456303.336917,10.77657
0,2456303.346542,10.75888
0,2456303.353278,10.76563
0,2456303.362921,10.76872
0,2456303.38364,10.76696
0,2456243.473296,10.77294
0,2456243.482203,10.76489
0,2456243.489626,10.76839
0,2456243.49951,10.75399
0,2456243.511372,10.76882
0,2456243.518197,10.74973
0,2456243.527882,10.77031
0,2456243.53682,10.76867
0,2456243.546512,10.77136
0,2456604.477561,10.75848
0,2456604.484306,10.75916
0,2456604.489506,10.76111
0,2456604.500631,10.7626
0,2456604.5125,10.75685
0,2456604.521446,10.76327
0,2456304.307843,10.74126
0,2456304.309949,10.74436
0,2456604.526654,10.76047
0,2456304.318869,10.75898
0,2456604.535615,10.75911
0,2456304.326233,10.74598
0,2456604.542937,10.76558
0,2456304.332956,10.74844
0,2456304.342605,10.7533
0,2456304.358956,10.75293
0,2456304.379602,10.75372
0,2456244.460983,10.75053
0,2455584.299656,10.74631
0,2455584.307154,10.75472
0,2455584.323335,10.76301
0,2456605.47102,10.75051
0,2456605.478949,10.7458
0,2456605.488448,10.75647
0,2456605.494357,10.74484
0,2456605.506345,10.75486
0,2456305.297763,10.73286
0,2456305.304396,10.73198
0,2456605.518902,10.74435
0,2456305.306495,10.73644
0,2456605.527863,10.74859
0,2456305.315354,10.73273
0,2456305.317452,10.7276
0,2456605.533051,10.74483
0,2456305.326331,10.73535
0,2456605.544166,10.74899
0,2456605.548759,10.75185
0,2456305.335923,10.74885
0,2456305.342649,10.7391
0,2456605.562156,10.7435
0,2456305.352275,10.72211
0,2456305.358999,10.73384
0,2456305.368601,10.72746
0,2456305.379745,10.73041
0,2456245.4579,10.73315
0,2456245.467435,10.72957
0,2456245.476374,10.73429
0,2456245.483798,10.72678
0,2456245.493609,10.73325
0,2456245.505407,10.7326
0,2455585.332802,10.73306
0,2455585.34908,10.73871
0,2456606.489987,10.72424
0,2456606.501179,10.70064
0,2456606.513001,10.71054
0,2456606.521947,10.71997
0,2456606.527132,10.7165
0,2456606.536025,10.7146
0,2456606.540642,10.71302
0,2456606.554011,10.7192
0,2456606.558638,10.71582
0,2456246.493115,10.72561
0,2456246.499885,10.73491
0,2456246.511729,10.7276
0,2456246.518492,10.73935
0,2456246.530288,10.73091
0,2456246.541486,10.73254
0,2456186.620418,10.7222
0,2456186.629916,10.73025
0,2456186.638867,10.71356
0,2456967.486507,10.6804
0,2456967.493572,10.6811
0,2456967.501389,10.67871
0,2456967.525759,10.69931
0,2456907.64563,10.68032
0,2456607.467433,10.70498
0,2456607.474796,10.70322
0,2456607.485986,10.70584
0,2456607.491247,10.70408
0,2456607.502399,10.70779
0,2456607.51438,10.70815
0,2456607.523357,10.70371
0,2456607.528599,10.70345
0,2456607.539734,10.70363
0,2456607.544376,10.705
0,2456307.338233,10.70884
0,2456307.345119,10.7032
0,2456307.354835,10.70993
0,2456307.363799,10.70788
0,2456307.373478,10.71077
0,2456547.632853,10.70868
0,2456247.45325,10.70326
0,2456247.47183,10.71096
0,2456247.489119,10.71135
0,2456247.498805,10.73203
0,2456247.50555,10.69912
0,2456247.517319,10.72998
0,2456247.526254,10.72703
0,2456247.536014,10.7361
0,2456187.616999,10.68731
0,2456968.489172,10.71086
0,2456968.50102,10.67235
0,2456968.513363,10.65173
0,2456908.640423,10.65679
0,2456908.647431,10.6652
0,2456608.464977,10.68704
0,2456608.471758,10.67798
0,2456608.477037,10.69018
0,2456608.488238,10.68584
0,2456608.493527,10.67618
0,2456608.502497,10.68343
0,2456608.514474,10.69512
0,2456308.300977,10.67649
0,2456608.523419,10.68035
0,2456308.309867,10.68134
0,2456308.311972,10.69027
0,2456608.528641,10.68546
0,2456308.32174,10.69522
0,2456608.539769,10.68295
0,2456608.544397,10.68518
0,2456308.331391,10.6775
0,2456308.338105,10.68815
0,2456308.347707,10.68382
0,2456308.356628,10.6885
0,2456308.36623,10.68637
0,2456548.631327,10.7025
0,2456548.638021,10.69921
0,2456188.614466,10.70877
0,2456188.623953,10.6986
0,2456188.632907,10.70047
0,2455588.294726,10.67886
0,2455588.299196,10.69644
0,2455588.303668,10.71048
0,2455588.319785,10.68155
0,2455588.335986,10.69351
0,2456909.638618,10.65011
0,2456609.463983,10.66473
0,2456609.472273,10.67962
0,2456609.484697,10.66838
0,2456609.490433,10.68081
0,2456609.500181,10.67792
0,2456609.513425,10.68338
0,2456309.304178,10.67069
0,2456609.522981,10.67499
0,2456609.530265,10.68831
0,2456609.543626,10.68653
0,2456609.548235,10.68637
0,2455589.29379,10.67869
0,2455589.298238,10.68894
0,2455589.302686,10.68635
0,2455589.318774,10.67595
0,2455589.334927,10.67212
0,2456910.635318,10.64963
0,2456910.63776,10.64706
0,2456910.644882,10.64272
0,2456610.460168,10.65005
0,2456610.466955,10.65477
0,2456610.472678,10.65844
0,2456610.484812,10.66008
0,2456610.490621,10.65123
0,2456610.499635,10.65817
0,2456610.511617,10.65813
0,2456610.520597,10.65961
0,2456610.527943,10.65567
0,2456610.541404,10.65667
0,2456610.546014,10.65094
0,2456190.607027,10.67659
0,2456190.613763,10.67978
0,2456190.621236,10.6663
0,2456190.630211,10.68092
0,2456911.633858,10.64265
0,2456911.6363,10.62929
0,2456911.643348,10.6265
0,2456611.456819,10.66301
0,2456611.463636,10.65687
0,2456611.468854,10.64966
0,2456611.488574,10.65487
0,2456251.448105,10.66321
0,2456251.455568,10.6617
0,2456251.464516,10.66792
0,2456251.474255,10.6564
0,2456251.480993,10.65969
0,2456251.490776,10.66711
0,2456251.497524,10.67444
0,2456251.509346,10.66372
0,2456251.518327,10.67423
0,2456251.528032,10.67146
0,2457032.322111,10.6475
0,2455591.296469,10.65559
0,2455591.300919,10.64796
0,2455591.317024,10.65851
0,2455591.333182,10.65731
0,2456612.51409,10.64878
0,2456612.525329,10.62963
0,2456612.529979,10.62745
0,2456612.543354,10.63612
0,2456552.617401,10.65109
0,2456552.624597,10.65582
0,2456552.647738,10.64276
0,2457033.301103,10.63086
0,2457033.303389,10.63209
0,2457033.310429,10.64915
0,2457033.312662,10.62064
0,2455592.292025,10.62622
0,2455592.296466,10.64367
0,2455592.300913,10.65062
0,2455592.317008,10.62928
0,2457033.346804,10.63118
0,2455592.330987,10.63598
0,2457033.359529,10.62667
0,2457033.368889,10.64482
0,2456553.614244,10.64508
0,2456553.620934,10.6439
0,2456253.440423,10.63716
0,2456253.447167,10.64749
0,2456253.454643,10.64412
0,2456253.463612,10.63479
0,2456253.473392,10.63741
0,2456253.48016,10.63381
0,2456253.48986,10.64047
0,2456253.496599,10.64171
0,2456253.510507,10.63937
0,2456253.521725,10.64824
0,2457034.299089,10.64126
0,2457034.306084,10.63165
0,2457034.308298,10.6291
0,2455593.291998,10.62776
0,2455593.296447,10.64574
0,2455593.300896,10.62984
0,2455593.316997,10.61965
0,2455593.33097,10.62506
0,2456554.612322,10.62697
0,2456554.630627,10.6274
0,2456254.433237,10.6348
0,2456254.442787,10.64632
0,2456254.449553,10.64062
0,2456254.456984,10.6523
0,2456254.466015,10.64239
0,2456254.475728,10.65125
0,2456254.492202,10.65541
0,2456254.498919,10.65108
0,2456254.5218,10.65393
0,2457035.299249,10.64426
0,2457035.306266,10.63204
0,2457035.308498,10.63228
0,2455594.290977,10.62385
0,2457035.320088,10.64262
0,2457035.322321,10.63529
0,2455594.29542,10.64094
0,2455594.299873,10.64756
0,2455594.315949,10.62197
0,2457035.343631,10.63342
0,2456255.433442,10.63499
0,2456255.443012,10.64728
0,2456255.451943,10.65227
0,2456255.459461,10.65016
0,2456255.466233,10.65343
0,2456255.475953,10.64828
0,2456255.482697,10.65117
0,2456255.492436,10.666
0,2456255.501402,10.66263
0,2456255.513264,10.66499
